"p","arc_length","Points:0","Points:1","Points:2"
-0.32659,0.5738,-0.32167,0.40142,0.44072
-0.3239,0.57532,-0.32167,0.40142,0.4392
-0.32124,0.57685,-0.32167,0.40142,0.43767
-0.31865,0.57837,-0.32167,0.40142,0.43615
-0.31612,0.5799,-0.32167,0.40142,0.43462
-0.31364,0.58142,-0.32167,0.40142,0.4331
-0.31121,0.58295,-0.32167,0.40142,0.43158
-0.30881,0.58447,-0.32167,0.40142,0.43005
-0.30643,0.586,-0.32167,0.40142,0.42853
-0.30407,0.58752,-0.32167,0.40142,0.427
-0.30177,0.58905,-0.32167,0.40142,0.42548
-0.29956,0.59057,-0.32167,0.40142,0.42395
-0.29737,0.5921,-0.32167,0.40142,0.42243
-0.29524,0.59362,-0.32167,0.40142,0.4209
-0.29319,0.59515,-0.32167,0.40142,0.41938
-0.29119,0.59667,-0.32167,0.40142,0.41785
-0.28919,0.5982,-0.32167,0.40142,0.41633
-0.28721,0.59972,-0.32167,0.40142,0.4148
-0.28532,0.60125,-0.32167,0.40142,0.41328
-0.28349,0.60277,-0.32167,0.40142,0.41175
-0.28167,0.6043,-0.32167,0.40142,0.41023
-0.2799,0.60582,-0.32167,0.40142,0.4087
-0.27818,0.60735,-0.32167,0.40142,0.40718
-0.2765,0.60887,-0.32167,0.40142,0.40565
-0.27483,0.6104,-0.32167,0.40142,0.40413
-0.27318,0.61192,-0.32167,0.40142,0.4026
-0.27157,0.61345,-0.32167,0.40142,0.40108
-0.27013,0.61497,-0.32167,0.40142,0.39955
-0.26871,0.6165,-0.32167,0.40142,0.39803
-0.26727,0.61802,-0.32167,0.40142,0.3965
-0.26598,0.61955,-0.32167,0.40142,0.39498
-0.26456,0.62107,-0.32167,0.40142,0.39345
-0.26328,0.6226,-0.32167,0.40142,0.39193
-0.26211,0.62412,-0.32167,0.40142,0.3904
-0.26084,0.62565,-0.32167,0.40142,0.38888
-0.25966,0.62717,-0.32167,0.40142,0.38735
-0.25853,0.6287,-0.32167,0.40142,0.38583
-0.25743,0.63022,-0.32167,0.40142,0.3843
-0.25636,0.63175,-0.32167,0.40142,0.38278
-0.25536,0.63327,-0.32167,0.40142,0.38125
-0.2544,0.6348,-0.32167,0.40142,0.37973
-0.25345,0.63632,-0.32167,0.40142,0.3782
-0.25251,0.63785,-0.32167,0.40142,0.37668
-0.25162,0.63937,-0.32167,0.40142,0.37515
-0.25074,0.6409,-0.32167,0.40142,0.37363
-0.24992,0.64242,-0.32167,0.40142,0.3721
-0.24914,0.64395,-0.32167,0.40142,0.37058
-0.24839,0.64547,-0.32167,0.40142,0.36905
-0.24764,0.647,-0.32167,0.40142,0.36753
-0.24683,0.64852,-0.32167,0.40142,0.366
-0.24608,0.65005,-0.32167,0.40142,0.36448
-0.24543,0.65157,-0.32167,0.40142,0.36295
-0.24485,0.6531,-0.32167,0.40142,0.36143
-0.24429,0.65462,-0.32167,0.40142,0.3599
-0.2437,0.65615,-0.32167,0.40142,0.35838
-0.24315,0.65767,-0.32167,0.40142,0.35685
-0.24267,0.6592,-0.32167,0.40142,0.35533
-0.24225,0.66072,-0.32167,0.40142,0.3538
-0.2418,0.66225,-0.32167,0.40142,0.35228
-0.24133,0.66377,-0.32167,0.40142,0.35075
-0.24095,0.6653,-0.32167,0.40142,0.34923
-0.24058,0.66682,-0.32167,0.40142,0.3477
-0.24018,0.66835,-0.32167,0.40142,0.34617
-0.2398,0.66987,-0.32167,0.40142,0.34465
-0.23949,0.6714,-0.32167,0.40142,0.34312
-0.23921,0.67292,-0.32167,0.40142,0.3416
-0.23889,0.67445,-0.32167,0.40142,0.34007
-0.2386,0.67597,-0.32167,0.40142,0.33855
